title,date,source,link,description
More than 100 ex-Republican officials call Trump ‘unfit to serve’ and endorse Harris - The Guardian US,"Wed, 18 Sep 2024 16:50:00 GMT",The Guardian US,https://news.google.com/rss/articles/CBMikAFBVV95cUxQeGhmSjA2a0tpcXJWX2d1YmNQczRMZ1JoN1ByNXpySXdLYnBvZVNmakRXOTBMX0NSUUdQZmRNMGhJd01aWUZyQkdnbkRoUm9zM1FCVmM1eVRPeW9tWVI4Qm9QUnJPX2l2VHpYc1FvZ09iUXZVZmtQem1DQTJmTEFWbzhHN1ZRd1BsYUlmQ0RBNFrSAZABQVVfeXFMTUNONDVUREt0VlNzUi1GOFBtczgtZGpldnNCODlRVFNEcjJXQXN0MmRJQlFwMkptSWxKa2oybFpzLVNVSzVpbGFEV2FEeUxLY2I5X3dhYXRiaHJpQmt5enZ4UERBczNTdS1CZHRWbl9EYy1idTAyci1PWXptajF6UHlDRDRMcnFldmNTZ3FPQ3Ew?oc=5,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxQeGhmSjA2a0tpcXJWX2d1YmNQczRMZ1JoN1ByNXpySXdLYnBvZVNmakRXOTBMX0NSUUdQZmRNMGhJd01aWUZyQkdnbkRoUm9zM1FCVmM1eVRPeW9tWVI4Qm9QUnJPX2l2VHpYc1FvZ09iUXZVZmtQem1DQTJmTEFWbzhHN1ZRd1BsYUlmQ0RBNFrSAZABQVVfeXFMTUNONDVUREt0VlNzUi1GOFBtczgtZGpldnNCODlRVFNEcjJXQXN0MmRJQlFwMkptSWxKa2oybFpzLVNVSzVpbGFEV2FEeUxLY2I5X3dhYXRiaHJpQmt5enZ4UERBczNTdS1CZHRWbl9EYy1idTAyci1PWXptajF6UHlDRDRMcnFldmNTZ3FPQ3Ew?oc=5"" target=""_blank"">More than 100 ex-Republican officials call Trump ‘unfit to serve’ and endorse Harris</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guardian US</font>"
Lindsey Graham calls reports of Mark Robinson’s ‘black Nazi’ posts ‘beyond unnerving’ - The Guardian US,"Sun, 22 Sep 2024 17:56:00 GMT",The Guardian US,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPOE4teldMUS1mR0t4RDVLVkVyOWE2dVNhZV9IMXpmX2prcWtnMXhKYUZiNVNuZTBGYjBWS1RXNHRVSm8xRkpnbjZjRVl4UHFFQWhWeEVnMjVUMlJJMHdzbUswcDVjYllQY2dvc191Q1dmam0yRktYNkowbEppX04teUFrWkZ4NU5Da3h6MWhZcGw3UkFNUWVfLVpRZ09QX2txd1RaM1ZOamrSAagBQVVfeXFMUHZDRTRKbFpEZXpoV1VkOVBIbTBodm9WVnZ1dTFiVUFITHdvdENNbklnb3J5MnFQVDVaZ25RWDZTbXgtdHRVdklWcXZicERkajVmZmlfVlFWNlMwQkhxZzBsbmlzZlp5UkU2alJXdmk5QzZsN2FWdTVLSnVXY1pwQkFhNHRpbXExNV9URnVqaWlIc3BVU25QSXJpTE8zTUY5c1otNGQtaEVW?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxPOE4teldMUS1mR0t4RDVLVkVyOWE2dVNhZV9IMXpmX2prcWtnMXhKYUZiNVNuZTBGYjBWS1RXNHRVSm8xRkpnbjZjRVl4UHFFQWhWeEVnMjVUMlJJMHdzbUswcDVjYllQY2dvc191Q1dmam0yRktYNkowbEppX04teUFrWkZ4NU5Da3h6MWhZcGw3UkFNUWVfLVpRZ09QX2txd1RaM1ZOamrSAagBQVVfeXFMUHZDRTRKbFpEZXpoV1VkOVBIbTBodm9WVnZ1dTFiVUFITHdvdENNbklnb3J5MnFQVDVaZ25RWDZTbXgtdHRVdklWcXZicERkajVmZmlfVlFWNlMwQkhxZzBsbmlzZlp5UkU2alJXdmk5QzZsN2FWdTVLSnVXY1pwQkFhNHRpbXExNV9URnVqaWlIc3BVU25QSXJpTE8zTUY5c1otNGQtaEVW?oc=5"" target=""_blank"">Lindsey Graham calls reports of Mark Robinson’s ‘black Nazi’ posts ‘beyond unnerving’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guardian US</font>"
"Listen Up: Ty Mathews, Republican Nominee for State Representative of the 83rd District - peakofohio.com","Sun, 22 Sep 2024 12:00:54 GMT",peakofohio.com,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNNUwtTFk5cldIVlh6QTZaTjRXalFNcjZUdXhHSzhlVXg3ZDhvU1RrWDVmOEZ1ai1MZEJJTW96MEk5X0pMRVNVemxpWUdPT1dpM2hmWW93WFpmMTZKcUxVdHcxVVlSR21zUXR0OXR1Q1d2U3JiVmxLZ3lDMS1iSk9FZTZ0TGxVZFN5bzRuQUJmcjMtVjZRLTRHS1dKQXVDOEJBNC1uTVY1cC1WcUhKYXZ0SWFfQ3pWbVR2NXlGbkhRYmc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNNUwtTFk5cldIVlh6QTZaTjRXalFNcjZUdXhHSzhlVXg3ZDhvU1RrWDVmOEZ1ai1MZEJJTW96MEk5X0pMRVNVemxpWUdPT1dpM2hmWW93WFpmMTZKcUxVdHcxVVlSR21zUXR0OXR1Q1d2U3JiVmxLZ3lDMS1iSk9FZTZ0TGxVZFN5bzRuQUJmcjMtVjZRLTRHS1dKQXVDOEJBNC1uTVY1cC1WcUhKYXZ0SWFfQ3pWbVR2NXlGbkhRYmc?oc=5"" target=""_blank"">Listen Up: Ty Mathews, Republican Nominee for State Representative of the 83rd District</a>&nbsp;&nbsp;<font color=""#6f6f6f"">peakofohio.com</font>"
Trump campaigns in North Carolina while embattled ally Robinson stays away - Reuters,"Sat, 21 Sep 2024 20:30:13 GMT",Reuters,https://news.google.com/rss/articles/CBMirgFBVV95cUxOUkw1Y1hXdkJJa1BzYW83aVhOaDV1WEJtTzZIVW41OEM0eWR4THZWeGtrT3FDZXdjYTFUaVBBSGpmRkt4NnNNMG1XUVBnaTVKTFk2b3d6XzVYMGxQVVBDXzF0Rk5LRXJVMjJIcnJfODhJOVZRVHpKVmdoSlUyWUlYaTk3ZGx1aWVnSXdDSWllYzhvZE9CUThndkZSMlczVDlPQ0tteU81RjNMZmMtN2c?oc=5,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxOUkw1Y1hXdkJJa1BzYW83aVhOaDV1WEJtTzZIVW41OEM0eWR4THZWeGtrT3FDZXdjYTFUaVBBSGpmRkt4NnNNMG1XUVBnaTVKTFk2b3d6XzVYMGxQVVBDXzF0Rk5LRXJVMjJIcnJfODhJOVZRVHpKVmdoSlUyWUlYaTk3ZGx1aWVnSXdDSWllYzhvZE9CUThndkZSMlczVDlPQ0tteU81RjNMZmMtN2c?oc=5"" target=""_blank"">Trump campaigns in North Carolina while embattled ally Robinson stays away</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>"
Republican commissioner addresses GOP backlash following his effort to keep early voting sites on college campuses - WFAA.com,"Sun, 22 Sep 2024 12:25:00 GMT",WFAA.com,https://news.google.com/rss/articles/CBMijgJBVV95cUxNY0wwS0otWi1rQUM3c2pKeHBMVE9qMFJHdnVCWGR0WTVoWEIxaWg1WVV2YWdDMlZuNGlXLXhUOUhWX1g2RENyMUM3MVBxWVZKSHJhajNfVHUzWmMzRUtCS1B0T2FyamxuWmVCOENONUhrUGhRTmk2NldhM1VnWU9WUVhwMFNodTBINW9xWS1kWUhNQ2g5U3k2cXYyRGNVQS1XdTMwdE9PalRyaXUzcnZuTVFSUW9YcTJvMkdYLXpNU3M5LWpuNmRwcmRPZEpSSFV1VzJxM2Q4cjlBU3E5LURWdFZjSURTRGl1MUphZXJKbWdxbDBJcFZoSFlwM2R0VWExcTdqYlllR1ZJM3UzVnc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMijgJBVV95cUxNY0wwS0otWi1rQUM3c2pKeHBMVE9qMFJHdnVCWGR0WTVoWEIxaWg1WVV2YWdDMlZuNGlXLXhUOUhWX1g2RENyMUM3MVBxWVZKSHJhajNfVHUzWmMzRUtCS1B0T2FyamxuWmVCOENONUhrUGhRTmk2NldhM1VnWU9WUVhwMFNodTBINW9xWS1kWUhNQ2g5U3k2cXYyRGNVQS1XdTMwdE9PalRyaXUzcnZuTVFSUW9YcTJvMkdYLXpNU3M5LWpuNmRwcmRPZEpSSFV1VzJxM2Q4cjlBU3E5LURWdFZjSURTRGl1MUphZXJKbWdxbDBJcFZoSFlwM2R0VWExcTdqYlllR1ZJM3UzVnc?oc=5"" target=""_blank"">Republican commissioner addresses GOP backlash following his effort to keep early voting sites on college campuses</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WFAA.com</font>"
Republicans are suing more election officials over voter rolls in several battleground states - CNN,"Fri, 20 Sep 2024 21:18:00 GMT",CNN,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOT3FoNE9nZUt0U1BNSVpTTkZPV2tlRDZPdkNqNWpaYjRpenlianJGUlM4dndBUVNuWWZJQ0k4dXF6VnRKMU9rd05kZXpELTNWSjZhcEtrcVBENjY3V3ZSOUxHeHQ5T3dPX2htZjhGZVVMYVBLV0RBSGItVWZQS25YYUtLNTRGWFlEeHQ5YWZRX0VTc08xWVUzLTZPMGppNl9HM0NpbDJJM1hmVDjSAaIBQVVfeXFMUC1mYnhIdTRaQzR0SFpzdkM1WlJKY2x1WmZjYklQSXByT2dGS3dOblhKZ25Qd2NiNXNiVE85NjJXNHRqX3dCUEYyTWZGR05UeVJxS0c4Rm5pSEhZVUlMODJfeXQxRnZhR2dCSXp5LXRzdlB4Tm1KZ0Y5alA3UmZpNlR2RVJqRXctRi04LXRic0loYVNGNUdORFE4Nkl1MVZETnNn?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxOT3FoNE9nZUt0U1BNSVpTTkZPV2tlRDZPdkNqNWpaYjRpenlianJGUlM4dndBUVNuWWZJQ0k4dXF6VnRKMU9rd05kZXpELTNWSjZhcEtrcVBENjY3V3ZSOUxHeHQ5T3dPX2htZjhGZVVMYVBLV0RBSGItVWZQS25YYUtLNTRGWFlEeHQ5YWZRX0VTc08xWVUzLTZPMGppNl9HM0NpbDJJM1hmVDjSAaIBQVVfeXFMUC1mYnhIdTRaQzR0SFpzdkM1WlJKY2x1WmZjYklQSXByT2dGS3dOblhKZ25Qd2NiNXNiVE85NjJXNHRqX3dCUEYyTWZGR05UeVJxS0c4Rm5pSEhZVUlMODJfeXQxRnZhR2dCSXp5LXRzdlB4Tm1KZ0Y5alA3UmZpNlR2RVJqRXctRi04LXRic0loYVNGNUdORFE4Nkl1MVZETnNn?oc=5"" target=""_blank"">Republicans are suing more election officials over voter rolls in several battleground states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>"
"Senate Republicans block IVF bill, as Democrats elevate issue ahead of November election - NPR","Tue, 17 Sep 2024 20:37:19 GMT",NPR,https://news.google.com/rss/articles/CBMiigFBVV95cUxQZ2FoQVBORU1HbVc1TmlnQ3dEMllxVUlod2FYTTJlY3VTOGtETDhQNnFOdFE3U0pPMjZBSnp2U0hYZkQxZGxkVmtvTk16Vmx2WFpXejZjNzFSWXpXSDl3M0hFbTA2blA5S0stYVBMSDVNU0REcXpUZWtxR2Nuc3NkUEZZSWxYbVVxRWc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxQZ2FoQVBORU1HbVc1TmlnQ3dEMllxVUlod2FYTTJlY3VTOGtETDhQNnFOdFE3U0pPMjZBSnp2U0hYZkQxZGxkVmtvTk16Vmx2WFpXejZjNzFSWXpXSDl3M0hFbTA2blA5S0stYVBMSDVNU0REcXpUZWtxR2Nuc3NkUEZZSWxYbVVxRWc?oc=5"" target=""_blank"">Senate Republicans block IVF bill, as Democrats elevate issue ahead of November election</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NPR</font>"
"Opinion | When a Republican Governor Couldn’t Win on Abortion, He Tried to Cheat - The New York Times","Wed, 18 Sep 2024 13:00:11 GMT",The New York Times,https://news.google.com/rss/articles/CBMigwFBVV95cUxOTkJjRGVLaER3YXRfZFhlU2RxZXRadGt3THo2eFBKaXp0QUFocXZ4aHN5TzBxc3dZa19zRmpCZUF3Z0phVV9veVZYSkxyb0ppVUoxenJzRUN3RkNrN0kzYzdBenJ1VHdmUnRmckk1QmpGYk5ua0E2T3pfMkhJZG1fYlg5Zw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxOTkJjRGVLaER3YXRfZFhlU2RxZXRadGt3THo2eFBKaXp0QUFocXZ4aHN5TzBxc3dZa19zRmpCZUF3Z0phVV9veVZYSkxyb0ppVUoxenJzRUN3RkNrN0kzYzdBenJ1VHdmUnRmckk1QmpGYk5ua0E2T3pfMkhJZG1fYlg5Zw?oc=5"" target=""_blank"">Opinion | When a Republican Governor Couldn’t Win on Abortion, He Tried to Cheat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>"
Vance says Haitian migrants with protected status are 'illegal aliens' to be deported - NPR,"Wed, 18 Sep 2024 22:50:29 GMT",NPR,https://news.google.com/rss/articles/CBMipAFBVV95cUxNYnBCQmdYcXU1YjE0UEgxcUlkeU5xcFB4clhfcHFrNTZlTDcyVHdKSzFfSlZka0ptZEtXRExQQ0hjN1A5QjNGMUs1YzZsVGMwZEp0bkZSZFpMcXFNclk4SkdVZkVRYUZZaE1nV1hPNUsyblJjN1Bud3pLMWJ2Sms1c3pLbExXTjk0cldvV2FfajJqNVZjVE1heWJ6X3dIbl9zZ3hLZg?oc=5,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxNYnBCQmdYcXU1YjE0UEgxcUlkeU5xcFB4clhfcHFrNTZlTDcyVHdKSzFfSlZka0ptZEtXRExQQ0hjN1A5QjNGMUs1YzZsVGMwZEp0bkZSZFpMcXFNclk4SkdVZkVRYUZZaE1nV1hPNUsyblJjN1Bud3pLMWJ2Sms1c3pLbExXTjk0cldvV2FfajJqNVZjVE1heWJ6X3dIbl9zZ3hLZg?oc=5"" target=""_blank"">Vance says Haitian migrants with protected status are 'illegal aliens' to be deported</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NPR</font>"
Republican governors launch effort to fight clean energy mandates - The Hill,"Thu, 19 Sep 2024 17:24:00 GMT",The Hill,https://news.google.com/rss/articles/CBMioAFBVV95cUxQempnWkVKanM1STJrbThtNnI1WkU0bklpcllZLUhpQnRRLVc0REhRUmVUN2t0Qkp5MWkwSDZMMU5UR3dBTzVFZ25BN04zSnp4azluWGhPTDZNTUZ1QjZWVzJpSkZ2UTVsN3RCazB0RDNtNEFtc3A4aG41UndSeDk1TnJaSnJWVmRyWHNMdElhdkdlbXFSTmItMmFtWWx1SXd40gGmAUFVX3lxTE9KbndDX3Nvdm4yNVh0eWY4c1JNZThVUUpfLVVabml2YTAtYURVR1doZlB0NDhZaWFtU2h0cWEzemtJYVhVcUtobUpIMVYtdWxraWZIM1NUVDROd1FlNEhLTUNLWW9zbGVqT1gzYnJ1Z3N3N3BYOGxNRmhzVzg0UEN5SHdOTGUtczYwWTVqRkhuVWY5WWxUeEpVZGVfR1ZjUWNXUk85ZEE?oc=5,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxQempnWkVKanM1STJrbThtNnI1WkU0bklpcllZLUhpQnRRLVc0REhRUmVUN2t0Qkp5MWkwSDZMMU5UR3dBTzVFZ25BN04zSnp4azluWGhPTDZNTUZ1QjZWVzJpSkZ2UTVsN3RCazB0RDNtNEFtc3A4aG41UndSeDk1TnJaSnJWVmRyWHNMdElhdkdlbXFSTmItMmFtWWx1SXd40gGmAUFVX3lxTE9KbndDX3Nvdm4yNVh0eWY4c1JNZThVUUpfLVVabml2YTAtYURVR1doZlB0NDhZaWFtU2h0cWEzemtJYVhVcUtobUpIMVYtdWxraWZIM1NUVDROd1FlNEhLTUNLWW9zbGVqT1gzYnJ1Z3N3N3BYOGxNRmhzVzg0UEN5SHdOTGUtczYwWTVqRkhuVWY5WWxUeEpVZGVfR1ZjUWNXUk85ZEE?oc=5"" target=""_blank"">Republican governors launch effort to fight clean energy mandates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hill</font>"
"Republicans squirm at Trump's ""disgusting"" rhetoric about Jewish voters - Axios","Fri, 20 Sep 2024 17:23:00 GMT",Axios,https://news.google.com/rss/articles/CBMiekFVX3lxTE5Za3J0bV8yV1kteUxLR3dkYmItNW94R1h2eXZqUGdxZ2s5UERHdVdkYXhfNFY0VWpBUlJMbnA5N2FzZ2hqS2doeDEyZ0hKQ0drV0FpdlhxeWZvN2VZcnJ5ZVZ4Z0xtb0lXTzJmWE1QemV5YjZjeFp2anRB?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTE5Za3J0bV8yV1kteUxLR3dkYmItNW94R1h2eXZqUGdxZ2s5UERHdVdkYXhfNFY0VWpBUlJMbnA5N2FzZ2hqS2doeDEyZ0hKQ0drV0FpdlhxeWZvN2VZcnJ5ZVZ4Z0xtb0lXTzJmWE1QemV5YjZjeFp2anRB?oc=5"" target=""_blank"">Republicans squirm at Trump's ""disgusting"" rhetoric about Jewish voters</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Axios</font>"
North Carolina judge rejects Republican challenge to student voter IDs - Reuters,"Fri, 20 Sep 2024 19:35:41 GMT",Reuters,https://news.google.com/rss/articles/CBMirgFBVV95cUxNaGc1a3haUFhBRVNBbFFPcFM5aVZuU0U1LTAzd3VjcGR0X2dET0VVUm90T2tZSkpWTWhvN2RFaHFUYjRXUU5mMzRpMTFRaW0tZWNQNTVudWlJRXBGdks5ZllObXNYcEpZcU04REllMkxrRkdJU3BpRzNYV0tqR3VQYmxxdUlHV1NYRE9YdXotVU5ocmlzOTRVaXRobEd2MmQ0NXJkRmxuRlV2V05LV3c?oc=5,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxNaGc1a3haUFhBRVNBbFFPcFM5aVZuU0U1LTAzd3VjcGR0X2dET0VVUm90T2tZSkpWTWhvN2RFaHFUYjRXUU5mMzRpMTFRaW0tZWNQNTVudWlJRXBGdks5ZllObXNYcEpZcU04REllMkxrRkdJU3BpRzNYV0tqR3VQYmxxdUlHV1NYRE9YdXotVU5ocmlzOTRVaXRobEd2MmQ0NXJkRmxuRlV2V05LV3c?oc=5"" target=""_blank"">North Carolina judge rejects Republican challenge to student voter IDs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>"
"Former Republican governor of Washington, Dan Evans dies at 98 - Washington Examiner","Sun, 22 Sep 2024 13:17:01 GMT",Washington Examiner,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOUXAwWEthMFdzRmRGYlltdm8zTlFMS3NNQzFDeGM1MlF0ZmNWb3dVM1dpaXI4MS1odTVTVGhQUTNXbGxKbVNCeFVfTFdWcVpveGxoZTl2aTk4MV9PVkZsZTBURTM5MnI0TXNyRHQyMEJmdnFDVGlEcW04c0RVMkhWeFJCdjBJV29WOVluOG0yM1EyaE9Na25uODVWUlRhYzNqY2pYLXEya29kX2hmQ19iYjJ4QTlXVkxv?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxOUXAwWEthMFdzRmRGYlltdm8zTlFMS3NNQzFDeGM1MlF0ZmNWb3dVM1dpaXI4MS1odTVTVGhQUTNXbGxKbVNCeFVfTFdWcVpveGxoZTl2aTk4MV9PVkZsZTBURTM5MnI0TXNyRHQyMEJmdnFDVGlEcW04c0RVMkhWeFJCdjBJV29WOVluOG0yM1EyaE9Na25uODVWUlRhYzNqY2pYLXEya29kX2hmQ19iYjJ4QTlXVkxv?oc=5"" target=""_blank"">Former Republican governor of Washington, Dan Evans dies at 98</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Washington Examiner</font>"
North Carolina Republican candidate for governor Mark Robinson called himself ‘black Nazi’ – report - The Guardian US,"Thu, 19 Sep 2024 19:53:00 GMT",The Guardian US,https://news.google.com/rss/articles/CBMiggFBVV95cUxNdS1acnl6MHJJZFVmSGRHQ1NNX2dzWWdSRElYakFJWTN4RUNfV18yaUxieXlaeHh0SktwYnpOMDMwY1hieXpBaDVmaTk1Qjl0MllNbVJiV29GMk5ET1ZiM1JpdmJYMXY3Ukk5X0Y5c0I2cnFnZHdrMEwyQWpFSzlHRU9R0gGCAUFVX3lxTFBlVFZpRUh4OWk5SjBHeFVHNFFuS1laUVo3UTJjWDA4aWJlSnBWTUFrQlYybUJqTGc5WFJCbFdKN0FVWF96ZkVwYkVoa0w0UU9BSVNoSTVVdFYwZWo4V09QX2gwdU5Uem1Bc2pGTXgwVl9kcHpsQmxhd0xZRWtNX0tfRWc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiggFBVV95cUxNdS1acnl6MHJJZFVmSGRHQ1NNX2dzWWdSRElYakFJWTN4RUNfV18yaUxieXlaeHh0SktwYnpOMDMwY1hieXpBaDVmaTk1Qjl0MllNbVJiV29GMk5ET1ZiM1JpdmJYMXY3Ukk5X0Y5c0I2cnFnZHdrMEwyQWpFSzlHRU9R0gGCAUFVX3lxTFBlVFZpRUh4OWk5SjBHeFVHNFFuS1laUVo3UTJjWDA4aWJlSnBWTUFrQlYybUJqTGc5WFJCbFdKN0FVWF96ZkVwYkVoa0w0UU9BSVNoSTVVdFYwZWo4V09QX2gwdU5Uem1Bc2pGTXgwVl9kcHpsQmxhd0xZRWtNX0tfRWc?oc=5"" target=""_blank"">North Carolina Republican candidate for governor Mark Robinson called himself ‘black Nazi’ – report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guardian US</font>"
"Government shutdown narrowly avoided after Republicans, Democrats make funding deal - Fox News","Sun, 22 Sep 2024 22:19:00 GMT",Fox News,https://news.google.com/rss/articles/CBMipwFBVV95cUxOb0I1dXFCNHBFYmg0bEc1VFNGZENzT2gtTi1LUnFDY0RxM0V3Z25mLThDeFROS1Q1Nzg3TjMxaUtxRWVpUFEtbmtnSmtuQk56Nmk5SnF4ajhGa3l1S19xLTV1akNwOXgzMnBUNEJHOE5DYXFmWUhMclduZ3BjQmtwb1lLVUdTaVdIYXlNOVVBMHN4QmJJcnN4d3Jka1JMbUJzQ0x2bHB6WdIBrAFBVV95cUxOd1Z6NEs1TmRjUFNudmt4VGlJODVfNWlVVklocHlNc1BTY2FqVjV3TFlFTnQxZUs1TE9xeUxwNXpiaGk5b3VMTkdVVHZObkVUZ2NzMkdwOVB1Wk5tUDdRYmdOd0hBcFlDUFJMSlRvaW1GOE5GSHVsNnFmRnBHMzZZNUJVZFVEclc5WXpjQ1hTaW91VWRTcE9DaFNVOVROUkhSbmpzTmJfOHVKNlNF?oc=5,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxOb0I1dXFCNHBFYmg0bEc1VFNGZENzT2gtTi1LUnFDY0RxM0V3Z25mLThDeFROS1Q1Nzg3TjMxaUtxRWVpUFEtbmtnSmtuQk56Nmk5SnF4ajhGa3l1S19xLTV1akNwOXgzMnBUNEJHOE5DYXFmWUhMclduZ3BjQmtwb1lLVUdTaVdIYXlNOVVBMHN4QmJJcnN4d3Jka1JMbUJzQ0x2bHB6WdIBrAFBVV95cUxOd1Z6NEs1TmRjUFNudmt4VGlJODVfNWlVVklocHlNc1BTY2FqVjV3TFlFTnQxZUs1TE9xeUxwNXpiaGk5b3VMTkdVVHZObkVUZ2NzMkdwOVB1Wk5tUDdRYmdOd0hBcFlDUFJMSlRvaW1GOE5GSHVsNnFmRnBHMzZZNUJVZFVEclc5WXpjQ1hTaW91VWRTcE9DaFNVOVROUkhSbmpzTmJfOHVKNlNF?oc=5"" target=""_blank"">Government shutdown narrowly avoided after Republicans, Democrats make funding deal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fox News</font>"
"Youngkin joins ""energy choice"" coalition with other Republican governors - Virginia Mercury","Thu, 19 Sep 2024 09:31:17 GMT",Virginia Mercury,https://news.google.com/rss/articles/CBMirwFBVV95cUxQRExzbjJPZnZTTWNyT0NRQ1JBY05OMDBtZUhqUy1fWjU3Ukdld1FkQmotZ042cnJPYWRBMjU0X1dpLU1ETFVCZ1ptdXBjQ2F4VHVyRkNGTE5NRTY3Q0NBczgxYmhoMlcyeHhIUS0yOExHdjdQRXl4Mkx2Q0ljb2c3ZTBHOHljU3ZJaFY5V1I0YnhEWFZxaWs1WGtLVkdkT0dsUWNCV1Z5eERhQUlLYnI0?oc=5,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxQRExzbjJPZnZTTWNyT0NRQ1JBY05OMDBtZUhqUy1fWjU3Ukdld1FkQmotZ042cnJPYWRBMjU0X1dpLU1ETFVCZ1ptdXBjQ2F4VHVyRkNGTE5NRTY3Q0NBczgxYmhoMlcyeHhIUS0yOExHdjdQRXl4Mkx2Q0ljb2c3ZTBHOHljU3ZJaFY5V1I0YnhEWFZxaWs1WGtLVkdkT0dsUWNCV1Z5eERhQUlLYnI0?oc=5"" target=""_blank"">Youngkin joins ""energy choice"" coalition with other Republican governors</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Virginia Mercury</font>"
"Harris could win the presidency but lose the Senate, giving Republicans a veto over her agenda and judges - NBC News","Fri, 20 Sep 2024 11:00:00 GMT",NBC News,https://news.google.com/rss/articles/CBMixwFBVV95cUxPR2JWUmtFQlpORU9lSk11djBmTEZlcGhOdExIbzVhMzR3bjQtMmNiSDVycjZIamViOTJqR2NVTXdMdjlkS3ZucktSTW1xUXE1QXBlOE1sY18zY0tQUjNrV19KMnJoand3aDdfemUwTHZOYWNTaUFva2tONWgyWDMyZ1lrWGpPTlptdkx4UDB4ck0xYXhPUGlfTV9hV0lDbGlvSmxsc25heTBNMk0wb0NRQnE4VFlEWFFTS3N2c3pHMkp5YnlPVDB30gFWQVVfeXFMTjZTX2swUG5qMlQ5VzZDMGpXNmliMEk4cEVLc1A1MDlYaHFPbmg1NXFqVG9SVEo5c2NfSnpKcXlYSFlrbTJyZ1luNmhFNHV3VlR2M3NBQVE?oc=5,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPR2JWUmtFQlpORU9lSk11djBmTEZlcGhOdExIbzVhMzR3bjQtMmNiSDVycjZIamViOTJqR2NVTXdMdjlkS3ZucktSTW1xUXE1QXBlOE1sY18zY0tQUjNrV19KMnJoand3aDdfemUwTHZOYWNTaUFva2tONWgyWDMyZ1lrWGpPTlptdkx4UDB4ck0xYXhPUGlfTV9hV0lDbGlvSmxsc25heTBNMk0wb0NRQnE4VFlEWFFTS3N2c3pHMkp5YnlPVDB30gFWQVVfeXFMTjZTX2swUG5qMlQ5VzZDMGpXNmliMEk4cEVLc1A1MDlYaHFPbmg1NXFqVG9SVEo5c2NfSnpKcXlYSFlrbTJyZ1luNmhFNHV3VlR2M3NBQVE?oc=5"" target=""_blank"">Harris could win the presidency but lose the Senate, giving Republicans a veto over her agenda and judges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC News</font>"
