description,date,source,time
Kamala Harris' latest comments on owning a gun,2024-09-20,CBS News,19:03:00
How Kamala Harris Hopes to Take North Carolina Back for the Democrats,2024-09-20,The New Yorker,10:00:00
Janet Jackson's Reps Dismiss Fake 'Apology' To Kamala Harris After She Questioned The VP's Race,2024-09-22,Yahoo Entertainment,22:45:16
Controversies Erupt as Trump and G.O.P. Make Critical Push to Voters,2024-09-22,The New York Times,19:37:35
Republicans in swing states say they see scant signs of groups door-knocking for Trump,2024-09-22,The Associated Press,12:04:00
Mayor of Muslim-majority Michigan city endorses Trump: ‘Right choice for this critical time’,2024-09-22,Fox News,23:51:00
Trump says he won't run again in four years if he loses November election,2024-09-22,NBC News,19:12:16
House Speaker Johnson axes Trump voting restrictions in new government funding bill,2024-09-22,CNBC,21:04:38
"Details, details: Trump passes up chance to spell out his economic plans",2024-09-22,POLITICO,18:58:35
Trump Admits He Could Lose 2024 Election,2024-09-23,TIME,02:00:00
"Opinion | Preemptively blaming Jews, Trump crosses a dangerous line",2024-09-23,The Washington Post,00:13:18
'That will be it': Trump shares decision on a presidential run in 2028,2024-09-22,USA TODAY,18:12:24
US election: Donald Trump says he probably will not run in 2028 if he loses,2024-09-23,BBC.com,01:12:35
Trump says he doesn't see himself running in 2028 if he loses in November,2024-09-22,Axios,19:23:49
Trump says he won't run again if he loses in November,2024-09-22,ABC News,20:16:00
"Trump says, if he loses, 2024 run will be his last",2024-09-22,The Associated Press,20:45:00
Opinion | The MAGA Movement Has Become a Problem for Trump,2024-09-22,The New York Times,10:00:24
Trump says he won’t run again if he loses 2024 election. Why Brownstein isn’t completely buying it,2024-09-22,CNN,20:54:23
The Trump Trials: A motion to rescue,2024-09-23,The Washington Post,02:44:22
How Trump Could Upend Taxation in America,2024-09-22,The New York Times,23:22:26
A new NBC News poll shows Vice President Harris ahead of Trump,2024-09-22,NBC News,23:04:07
"Scoop: Harris, Trump in talks with ""60 Minutes""",2024-09-22,Axios,13:36:22
‘I’m a black NAZI!’: NC GOP nominee for governor made dozens of disturbing comments on porn forum,2024-09-19,CNN,19:21:00
"Trump Increases Rhetoric, Says Immigrants Are ‘Attacking Villages’",2024-09-22,Forbes,13:09:51
“That Will Be It”: Donald Trump Says He Won’t Run In 2028 If He Loses In 2024,2024-09-22,Deadline,22:58:00
‘This isn’t the real Oprah’: Trump lashes out at talkshow host over Harris support,2024-09-22,The Guardian US,21:15:00
Trump Says This Election Will Be His Last If He Loses,2024-09-22,Mother Jones,19:35:14
Trump hawks $100 commemorative coins in latest hunt for cash,2024-09-22,The Guardian US,21:14:00
Trump says he won’t run for president again in 2028 if he loses in November,2024-09-22,The Guardian US,20:56:00
Trump holding far fewer rallies than in past runs,2024-09-22,Axios,13:13:18
"Criticizing Oprah, Trump Falsely Claims He Appeared on Her Show’s Final Week",2024-09-22,The New York Times,19:55:00
Democrats see path to N.C. victory following Robinson bombshell,2024-09-22,Axios,17:41:58
"Trump Calls Bill Maher a 'Befuddled Mess,' Stephanie Ruhle a 'Bimbo'",2024-09-22,Variety,21:50:00
Gretchen Whitmer calls Trump ‘deranged’ after comments on abortion,2024-09-22,The Guardian US,18:05:00
Trump allies make another push to change Nebraska’s Electoral College law,2024-09-23,The Associated Press,00:27:00
Melania Trump's social media campaign is in full swing. But she's still MIA less than 2 months before the election.,2024-09-22,Business Insider,22:01:00
Trump tries to steady his footing in North Carolina,2024-09-22,Axios,10:40:14
Trump’s goal of mass deportations fell short. But he has new plans for a second term,2024-09-22,The Associated Press,19:22:00
Colorado governor defends Aurora against Trump’s claims about migrants,2024-09-22,POLITICO,16:51:29
Donald Trump says he’s unlikely to run for president in 2028 if he loses in November,2024-09-22,New York Post ,17:43:00
Melania Trump Says Jolt Went Through Her Body Amid George Floyd Protests,2024-09-22,Newsweek,22:38:41
Trump supporter and hater: We both think he staged shooting plots,2024-09-22,BBC.com,13:17:36
Trump to make two more stops in Michigan as absentee ballots become available,2024-09-22,Detroit News,19:08:56
Playbook: New polls boost Harris as Trump hits turbulence,2024-09-22,POLITICO,15:12:12
Rep. Mike Kelly on Trump assassination attempts: 'We cannot accept this as Americans',2024-09-22,ABC News,16:07:30
Trump says he will not run in 2028 if he loses in November,2024-09-22,The Hill,19:29:00
Mark Robinson ‘is a liability’ to Trump campaign ‘in so many ways’: political analyst,2024-09-22,MSNBC,08:09:56
"Why Trump and Vance’s strategy is ‘say anything, make up anything’",2024-09-22,The Guardian US,11:00:00
Mark Robinson’s porn site scandal greeted with shrugs by some Trump backers,2024-09-23,The Washington Post,02:48:44
Trump looms over Climate Week as UN returns,2024-09-22,POLITICO,16:00:00
Trump plans 2 visits to Michigan this week,2024-09-22,MLive.com,20:24:00
‘Morally indefensible’ – but George W Bush will not come out against Trump | US elections 2024,2024-09-22,The Guardian US,16:01:00
Trump's allies call on him to pull his endorsement of Mark Robinson,2024-09-22,NBC News,13:52:18
"On the Trail, Trump and Vance Sharpen a Nativist, Anti-Immigrant Tone",2024-09-22,The New York Times,15:00:21
Tapper presses GOP senator on Trump's comment about Jewish voters,2024-09-22,CNN,13:56:43
Donald Trump coming back to Metro Detroit this week for Town Hall,2024-09-22,WXYZ 7 Action News Detroit,19:36:49
Donald Trump is returning to ‘must-win’ Georgia after a weeks-long absence,2024-09-22, The Atlanta Journal Constitution,21:10:08
Christian Voters 'Don't Care' About Donald Trump's Religious Beliefs: Poll,2024-09-22,Newsweek,19:49:20
Ex-RNC Chair Rips GOP Listening to Trump: 'Blind Being Led by the Stupid',2024-09-22,Newsweek,19:37:36
"Fact check: Trump tells two false stories about Oprah Winfrey, including one he’s been repeating for 11 years",2024-09-22,CNN,19:31:00
President Trump to campaign in Savannah Tuesday,2024-09-22,WTOC,17:58:00
Trump Vs. Harris 2024 Polls: Harris Leads In 2 Major Surveys—But Razor-Thin Race In Swing States,2024-09-22,Forbes,13:36:00
Tom Cotton Confronted Over Donald Trump's Antisemitic Remarks,2024-09-22,Newsweek,20:01:27
Trump launches new $100 commemorative coin as Janet Jackson makes attack on Harris’s heritage: Live,2024-09-22,Yahoo! Voices,18:46:58
Inside the poll numbers: Which key groups have moved — and which ones haven't — since Biden's exit,2024-09-22,NBC News,13:00:00
Transcripts Show President Trump's Directives to Pentagon Leadership to,2024-09-20,Committee on House Administration |,16:30:00
Donald Trump to speak in Walker on Friday,2024-09-22,FOX 17 West Michigan News,20:10:24
Trump doesn't mention embattled GOP candidate Mark Robinson at North Carolina rally,2024-09-22,ABC News,09:18:39
Lindsey Graham Gives Donald Trump Advice About Jewish Voters,2024-09-22,Newsweek,15:53:39
Mark Cuban Confronts Donald Trump Allies With Flurry of Posts,2024-09-22,Newsweek,16:49:10
Data scientist nails the Trump gaffe that started what looks today like a building Harris landslide,2024-09-22,Fortune,18:41:00
"Foreign leaders jostle for meetings with Trump and Harris, even as Biden ramps up his diplomacy",2024-09-22,CNN,16:23:00
Gretchen Whitmer Calls Trump’s Bizarre Rant About Women and Abortion ‘Deranged’,2024-09-22,Rolling Stone,15:33:31
Stephen King Using Republican's Words Against Donald Trump Takes Off Online,2024-09-22,Newsweek,15:02:30
How Trump Hopes to Exploit the Myth of Voter Fraud in November,2024-09-22,The New Yorker,10:00:00
Donald Trump Makes 'Desperate' Move To Stop Jack Smith—Ex-Prosecutor,2024-09-22,Newsweek,14:48:51
‘Big mistake’: South Florida Haitians slam Trump’s false claim about immigrants eating pets,2024-09-22,Miami Herald,23:11:11
Colorado governor calls Aurora a ‘wonderful city’ in response to Trump attacks,2024-09-22,The Hill,18:40:00
What insults tell us about the Trump-Harris election fight,2024-09-21,BBC.com,11:19:53
Opinion | Trump Can Take Heart: Mark Zandi Says Harris Will Win,2024-09-22,The Wall Street Journal,20:15:00
Chris Christie's Takedown of Trump Endorsing Mark Robinson Takes Off Online,2024-09-22,Newsweek,17:42:57
Does Trump really want his VP to have the final debate word this election?,2024-09-21,CNN,23:19:00
A Changed Montana May Decide Control of the U.S. Senate,2024-09-22,The New York Times,09:02:14
"Column | Senate Democrats push leaders to expand map to Florida, maybe Texas",2024-09-21,The Washington Post,20:00:47
Senate Control Hinges on the ‘Last Democrat’ in Montana,2024-09-21,The Wall Street Journal,04:00:00
"Pennsylvania Democrat backs Trump, issues warning on Harris: 'There's only one candidate here'",2024-09-21,Fox News,09:00:00
The Last Stand of the Rural Democrats,2024-09-20,The New Yorker,10:00:00
"Angela Alsobrooks improperly claimed tax deductions on DC, Maryland properties, records show",2024-09-22,CNN,12:00:00
"Democrat Nearly Doubles Lead in Arizona Senate Race, Poll Shows",2024-09-19,Newsweek,23:26:11
"Harris' fundraising triples Trump's in August, growing Democrat's warchest, FEC filings show",2024-09-21,ABC News,06:53:49
North Carolina Democrat on his opponent: ‘Robinson exists because Donald Trump has lifted him up’,2024-09-22,The Hill,15:11:00
"Racing toward Election Day, control of U.S. Senate and House up for grabs",2024-09-22,Washington State Standard,15:35:58
Democrats and Republicans finally agree on something: America faces a retirement crisis,2024-09-23,USA TODAY,02:31:01
ICYMI: Chairwoman Stefanik: Kamala Harris and Far Left Democrat Policies Threaten the American Way of Life,2024-09-18,Congresswoman Elise Stefanik,15:51:19
Kentucky Newsmakers 9/22: 45th House District Candidates: Republican Thomas Jefferson; Democrat Adam Moore,2024-09-22,WKYT,22:50:00
"I Raised Millions for Democrats. After Kamala's DNC, I'm Through | Opinion",2024-09-17,Newsweek,20:26:10
"Womack faces Democratic, Libertarian challengers in 3rd District race",2024-09-22,Arkansas Online,19:25:00
"Upstate NY Democrat launches write-in campaign after primary loss, breaks with party on bail reform",2024-09-22,New York Post ,22:30:00
Democrat LaMonica McIver wins special election to succeed late Rep. Donald Payne Jr.,2024-09-19,New Jersey Monitor,00:21:01
Republicans are red and Democrats blue. But it wasn’t always that way,2024-09-20,CNN,08:28:00
"Womack faces Democratic, Libertarian challengers in 3rd District race",2024-09-22,Northwest Arkansas Democrat-Gazette,19:25:00
Opinion | Democrats have a choice: Do they expand the Senate map?,2024-09-22,The Washington Post,18:45:00
Clear contrasts between the Democratic and Republican Parties’ positions on reproductive rights and health care,2024-09-19,Brookings Institution,18:51:11
Democrats see weakest voter registration edge in decades,2024-09-18,Spotlight PA,09:00:00
Kentucky Newsmakers 9/22: 45th House District Candidates: Republican Thomas Jefferson; Democrat Adam,2024-09-22,WKYT,22:50:00
Kids don’t define you,2024-09-22,Arkansas Online,07:01:00
Democrats spend big in Maryland as Hogan keeps race close,2024-09-22,The Hill,21:00:00
This North Texas Democrat is joining the race for House Speaker,2024-09-22,WFAA.com,12:33:00
"Westerman, Howard face off in 4th Congressional District contest",2024-09-23,Arkansas Online,02:25:00
Don Lemon: ‘I’m not a Democrat’,2024-09-19,The Hill,13:38:00
Mulvaney to Trump: Don’t ‘out-Democrat the Democrats’,2024-09-20,The Hill,01:05:00
Democrat LaMonica McIver wins NJ special election,2024-09-19,Roll Call ,00:47:35
New York Democrats are desperate to avoid repeat of their 2022 midterm collapse,2024-09-19,CNN,17:06:00
Pennsylvania Democrat stresses need for bipartisanship in probe of Trump assassination attempts,2024-09-22,The Hill,17:35:00
Democrats privately worry the Teamsters non-endorsement is a warning sign,2024-09-20,POLITICO,16:28:52
Beverly Alexander Obituary (1926,2024-09-23,Legacy.com,02:11:26
"In Michigan, Democrats Hope to Benefit From a Post-Biden Surge of Youth Energy",2024-09-22,The New York Times,09:01:46
"After New Damaging Robinson Revelations, North Carolina Governor Shifts to Likely Democrat",2024-09-20,The Cook Political Report,19:29:04
A Republican and a Democrat Sit Across From Each Other. There’s No Punchline.,2024-09-22,The New York Times,09:03:49
LETTER: Midland County Democrat Party candidates would take community in the wrong direction,2024-09-22,Midland Daily News,15:15:28
Trump bemoans lack of support from Jewish voters and blames ‘Democrat curse’,2024-09-20,The Guardian US,17:53:00
‘Don’t sleep on Florida’: Miami-Dade Democrats make the case that Florida is in play,2024-09-22,Miami Herald,17:30:09
MASTERSON ONLINE: ‘Papaw’ a mirthful rascal,2024-09-21,Arkansas Online,08:09:00
Florida Democratic leaders hold rally in Belle Glade Saturday to build support for Kamala Harris,2024-09-22,Florida Politics,23:26:15
Larry Hogan's Chances of Flipping Democratic Senate Seat in Maryland: Polls,2024-09-22,Newsweek,15:06:53
Opinion | Should Democrats tone down their rhetoric on Trump?,2024-09-18,The Washington Post,02:40:37
How Democrats could finally win North Carolina in 2024,2024-09-19,ABC News,19:50:08
Ohio Democrat tells Walz to ‘be yourself’ ahead of VP debate,2024-09-22,The Hill,14:52:00
Republican Arizona county chair endorses Democrat to replace him,2024-09-19,The Hill,00:37:00
Column | How Republican or Democratic is your name?,2024-09-13,The Washington Post,07:00:00
"Senate Republicans block IVF bill, as Democrats elevate issue ahead of November election",2024-09-17,NPR,20:37:19
OPINION | JOHN BRUMMETT: Same as it ever was?,2024-09-22,Arkansas Online,06:50:00
"Westerman, Howard face off in 4th Congressional District contest",2024-09-23,Northwest Arkansas Democrat-Gazette,02:25:00
What Should Democrats Say to Young Men?,2024-09-20,The American Prospect,09:38:15
Maine Democrats have likely run out of time to change Electoral College laws if Nebraska GOP acts,2024-09-20,NBC News,17:27:00
"Democrats Seize on Robinson Scandal, Hoping to Sink Trump in a Key State",2024-09-20,The New York Times,17:39:11
Doug Emhoff to lead San Antonio rally for Texas Democrats,2024-09-19,The Texas Tribune,10:00:00
Chuck Schumer calls out Republicans for 'wasting time' as tentative funding deal is announced,2024-09-22,Fox News,22:19:00
Abortion rights are on 10 state ballots in November − Democrats can’t count on this to win elections for them,2024-09-18,The Conversation,12:13:33
Democrats have a Montana problem in their fight for the Senate,2024-09-18,POLITICO,09:00:00
Democrats go on offense against false claims about Haitians: ‘Racist fearmongers’,2024-09-22,The Hill,18:00:00
A lawful proceeding,2024-09-22,Arkansas Online,07:16:00
Democrats launch new ad push to tie Trump to Mark Robinson following reported porn website comments,2024-09-20,NBC News,12:10:18
Democrats eager to fight Vance over ObamaCare rollback,2024-09-22,The Hill,16:00:00
Fetterman says Mark Robinson story is ‘great news’ for Democrats,2024-09-22,The Hill,14:21:00
Democrats face campaign dilemma after second apparent Trump assassination plot,2024-09-17,The Guardian US,16:57:00
"Democrats Kamala Harris, Bob Casey lead Donald Trump, Dave McCormick in new Pennsylvania poll",2024-09-20,Spotlight PA,22:32:48
Alaska Democrats sue to remove imprisoned out-of-state Democrat from U.S. House ballot,2024-09-04,Alaska Beacon,07:00:00
Republican allies boost longshot candidate Jill Stein as Democrats try to remove her from ballots in battleground states,2024-09-17,CBS News,22:54:35
"China testing resolve, Biden tells Quad allies",2024-09-22,Arkansas Online,08:22:00
Democrats retain control of Pa. House after 2 special election wins,2024-09-18,Spotlight PA,15:15:55
"Harris Has a Polling Edge in Wisconsin, but Democrats Don’t Trust It",2024-09-20,The New York Times,16:10:29
Inside Texas Politics | North Texas lawmaker thinks a Democrat can lead them,2024-09-22,WFAA.com,12:16:00
Hollywood actor says Democratic Party has been ‘hijacked by an extreme woke ideology’,2024-09-22,Washington Examiner,22:57:27
Exit poll gives Scholz’s Social Democrats a slight lead over far right in German state vote,2024-09-22,The Hill,21:54:00
Bail set at $2 million for Cal Fire employee jailed in connection with Sonoma County brush fires,2024-09-20,The Santa Rosa Press Democrat,16:34:03
In vitro fertilization bills from both Democrats and GOP blocked in U.S. Senate,2024-09-17,Daily Montanan,20:59:09
Auburn gives win to Arkansas with miscues,2024-09-22,Arkansas Online,07:22:00
Breaking News,2024-09-20,The New Republic,21:58:30
Senate Democrat Ossoff seeks congressional revamp of USPS under Trump ally DeJoy,2024-09-20,MarketWatch,22:28:00
Enrollment of undocumented students at California universities has dropped,2024-09-22,Woodland Daily Democrat,17:31:21
The other Jan. 6 Democrats are worried about,2024-09-17,POLITICO,10:00:00
"Peltola supports Democratic plan to avert government shutdown, Begich takes no position",2024-09-18,Alaska Beacon,17:26:15
Democrat incumbent Rep. Jennifer McClellan has raised nearly 10 times as much money as her Republican challenger,2024-09-21,13newsnow.com WVEC,00:51:00
She rode the 2016 GOP wave. Now Jennifer McCormick is running for governor as a Democrat,2024-09-17,IndyStar,10:21:16
Second gentleman Doug Emhoff to visit SA as Texas Democrats host rally,2024-09-22,KENS5.com,23:19:00
"Trump’s rhetoric has caused violence, not Democrats calling him a threat to democracy",2024-09-20,The Hill,14:30:00
A Populist Democrat Fights to Survive the Trump-Fueled Populist Wave,2024-09-18,The Wall Street Journal,09:00:00
"Democrat seeks to flip GOP suburban Milwaukee seat with focus on abortion rights, tax cuts",2024-09-20,WisconsinWatch.org,17:00:00
GOP is ‘on their heels’ and ‘scared’ to lose North Carolina this year: NC State Democratic Chair,2024-09-22,MSNBC,19:16:48
Letter | Democrats don't support average Americans,2024-09-22,The Capital Times,19:00:00
Mary Grace Munson Mitchell David Mello,2024-09-22,Arkansas Online,07:06:00
Missouri escapes with 2OT victory,2024-09-22,Arkansas Online,07:05:00
R.I. elections panel rejects challenge of Democratic Senate nominee Lori Urso,2024-09-18,Rhode Island Current,21:49:21
'Veep' cast reuniting again to fundraise for Wisconsin Democrats,2024-09-20,Milwaukee Journal Sentinel,01:30:55
Democrat calls GOP stopgap fight ‘fanatic-on-fanatic violence’,2024-09-19,The Hill,18:42:00
Republicans block Democratic bill on IVF protections,2024-09-17,POLITICO,20:04:38
Scoop: Sen. Kirsten Gillibrand plots top role for 2026,2024-09-18,Axios,00:20:28
Liz Cheney Suggests a New Political Party May Be Needed,2024-09-22,The New York Times,17:06:00
Mark Robinson: Republicans absorb political shockwave in must-win North Carolina,2024-09-21,BBC.com,01:32:49
